title,url,date_published,snippet,body,text
The changing American consumer,https://www.economist.com/finance-and-economics/2022/05/29/the-changing-american-consumer,2022-05-29T19:40:45Z,Could a shift from goods to services ease inflation?,"Asked recently about Amazons sprawling network of warehouses Brian Olsavsky, the firms finance chief, did not mince words. We have too much space right now. Faced with a surge in demand during the pa… [+4973 chars]",the changing american consumer could a shift from goods to services ease inflation  asked recently about amazons sprawling network of warehouses brian olsavsky  the firms finance chief  did not mince words  we have too much space right now  faced with a surge in demand during the pa  
Wall Street’s housing grab continues,https://www.economist.com/finance-and-economics/2022/05/25/wall-streets-housing-grab-continues,2022-05-25T18:17:46Z,"As rising rates deter families from buying, being a rentier looks as appealing as ever","Springweather often lures a stampede of homebuyers. Blossoming flowers and gushing sunlight after the winter slog make homes look more inviting. Not this year, though. Across the rich world house-hun… [+2864 chars]",wall street s housing grab continues as rising rates deter families from buying  being a rentier looks as appealing as ever springweather often lures a stampede of homebuyers  blossoming flowers and gushing sunlight after the winter slog make homes look more inviting  not this year  though  across the rich world house hun  
Davos overshadowed by global economic worries...,https://apnews.com/article/russia-ukraine-world-economic-forum-covid-health-60c02786e8125cbcedab83867198cd3d,2022-05-25T20:01:40Z,"DAVOS, Switzerland (AP) — Soaring inflation. Russia’s war in Ukraine. Squeezed supply chains. The threat of food insecurity around the world. The lingering COVID-19 pandemic. The risks to the global economy are many, and it’s led to an increasingly gloomy vie…","DAVOS, Switzerland (AP) Soaring inflation. Russias war in Ukraine. Squeezed supply chains. The threat of food insecurity around the world. The lingering COVID-19 pandemic.
The risks to the global ec… [+5500 chars]",davos overshadowed by global economic worries    davos  switzerland    soaring inflation  russia s war in ukraine  squeezed supply chains  the threat of food insecurity around the world  the lingering covid 19 pandemic  the risks to the global economy are many  and it s led to an increasingly gloomy vie  davos  switzerland  soaring inflation  russias war in ukraine  squeezed supply chains  the threat of food insecurity around the world  the lingering covid 19 pandemic   the risks to the global ec  
Fewer Americans apply for unemployment benefits last week - The Associated Press - en Español,https://apnews.com/article/covid-politics-health-economy-26f23db8057004adac522c751a417d49,2022-06-02T13:00:23Z,"<ol><li>Fewer Americans apply for unemployment benefits last week  The Associated Press - en Español
</li><li>Job Openings Fell In April, But There Are Still More Job Openings Than Workers To Fill Them  NBC News
</li><li>Private payrolls increased by just 1…","WASHINGTON (AP) Fewer Americans applied for jobless aid last week with the number of Americans collecting unemployment at historically low levels.
Applications for unemployment benefits fell by 11,0… [+2879 chars]",fewer americans apply for unemployment benefits last week      en espa ol fewer americans apply for unemployment benefits last week     en espa ol  job openings fell in april  but there are still more job openings than workers to fill them  nbc news  private payrolls increased by just 1  washington  fewer americans applied for jobless aid last week with the number of americans collecting unemployment at historically low levels   applications for unemployment benefits fell by 11 0  
US consumer confidence slips in May amid stubborn inflation,https://apnews.com/8e4f1c2efc10349499bc61b638c15d7f,2022-05-31T14:32:41Z,U.S. consumer confidence edged down in May as Americans’ view of their present and future prospects dimmed in the midst of persistent inflation. The Conference Board said Tuesday that its consumer confidence index dipped to 106.4 in May — still…,"By MATT OTT - AP Business Writer
SILVER SPRING, Md. (AP) 
U.S. consumer confidence edged lower in May as Americans' view of their present and future prospects dimmed in the midst of persistent infl… [+2832 chars]",us consumer confidence slips in may amid stubborn inflation u s  consumer confidence edged down in may as americans  view of their present and future prospects dimmed in the midst of persistent inflation  the conference board said tuesday that its consumer confidence index dipped to 106 4 in may   still  by matt ott   ap business writer  silver spring  md     u s  consumer confidence edged lower in may as americans  view of their present and future prospects dimmed in the midst of persistent infl  
Davos gathering overshadowed by global economic worries,https://apnews.com/60c02786e8125cbcedab83867198cd3d,2022-05-25T09:19:21Z,"The risks to the global economy are leading to an increasingly gloomy view of the months ahead as corporate leaders, government officials and other VIPs gather at the World Economic Forum meeting in Davos, Switzerland. The issues range from soaring…","By KELVIN CHAN - AP Business Writer
DAVOS, Switzerland (AP) Soaring inflation. Russias war in Ukraine. Squeezed supply chains. The threat of food insecurity around the world. The lingering COVID-19 … [+5674 chars]",davos gathering overshadowed by global economic worries the risks to the global economy are leading to an increasingly gloomy view of the months ahead as corporate leaders  government officials and other vips gather at the world economic forum meeting in davos  switzerland  the issues range from soaring  by kelvin chan   ap business writer  davos  switzerland  soaring inflation  russias war in ukraine  squeezed supply chains  the threat of food insecurity around the world  the lingering covid 19   
Newsom expected to cruise to victory in California primary,https://apnews.com/ddc5f4b4c3bda0b7edcbe90946d987cf,2022-06-07T04:23:08Z,California Gov. Gavin Newsom is back on the ballot after defeating a recall attempt last year. Newsom will appear in Tuesday's primary for governor along with 25 other candidates. Newsom is expected to finish in first place with ease. Whoever…,"By ADAM BEAM - Associated Press
SACRAMENTO, Calif. (AP) Less than a year after handily beating back a recall effort, California Democratic Gov. Gavin Newsom is back on the ballot in Tuesday's primar… [+4931 chars]",newsom expected to cruise to victory in california primary california gov  gavin newsom is back on the ballot after defeating a recall attempt last year  newsom will appear in tuesday s primary for governor along with 25 other candidates  newsom is expected to finish in first place with ease  whoever  by adam beam   associated press  sacramento  calif   less than a year after handily beating back a recall effort  california democratic gov  gavin newsom is back on the ballot in tuesday s primar  
Home sales tumble again as mortgage rates surge,https://apnews.com/2bc456b3d081d315cc6c1e2587fadfd9,2022-05-19T14:38:15Z,"Sales of previously occupied U.S. homes slowed in April for the third month in a row as mortgage rates surged, driving up borrowing costs for would-be homebuyers as home prices soared to new highs. The National Association of Realtors said…","By ALEX VEIGA - AP Business Writer
Sales of previously occupied U.S. homes slowed for the third consecutive month in April as mortgage rates surged, driving up borrowing costs for would-be buyers as… [+3888 chars]",home sales tumble again as mortgage rates surge sales of previously occupied u s  homes slowed in april for the third month in a row as mortgage rates surged  driving up borrowing costs for would be homebuyers as home prices soared to new highs  the national association of realtors said  by alex veiga   ap business writer  sales of previously occupied u s  homes slowed for the third consecutive month in april as mortgage rates surged  driving up borrowing costs for would be buyers as  
"Worry about stagflation, a flashback to '70s, begins to grow",https://apnews.com/63a9d0ec0ee778dcdd8355b3ffebb99e,2022-05-26T15:52:07Z,"Stagflation. It was the dreaded “S word” of the 1970s. For Americans of a certain age, it conjures memories of painfully long lines at gas stations and shuttered factories. Stagflation is the bitterest of pills: High inflation mixes with a…","By PAUL WISEMAN - AP Economics Writer
WASHINGTON (AP) Stagflation. It was the dreaded S word of the 1970s.
For Americans of a certain age, it conjures memories of painfully long lines at gas statio… [+8312 chars]",worry about stagflation  a flashback to  70s  begins to grow stagflation  it was the dreaded  s word  of the 1970s  for americans of a certain age  it conjures memories of painfully long lines at gas stations and shuttered factories  stagflation is the bitterest of pills  high inflation mixes with a  by paul wiseman   ap economics writer  washington  stagflation  it was the dreaded s word of the 1970s   for americans of a certain age  it conjures memories of painfully long lines at gas statio  
Bird flu outbreak waning but threat of virus lingers,https://apnews.com/1ec0f5a8e5485300fe117f87f8470f06,2022-06-16T22:23:54Z,"A bird flu outbreak in the U.S. that led to the deaths of more than 40 million chickens and turkeys and contributed to a spike in egg and meat prices appears to be waning, but experts caution the virus hasn't…","By JOSH FUNK - Associated Press
OMAHA, Neb. (AP) A bird flu outbreak in the U.S. that led to the deaths of more than 40 million chickens and turkeys and contributed to a spike in egg and meat prices… [+5180 chars]",bird flu outbreak waning but threat of virus lingers a bird flu outbreak in the u s  that led to the deaths of more than 40 million chickens and turkeys and contributed to a spike in egg and meat prices appears to be waning  but experts caution the virus hasn t  by josh funk   associated press  omaha  neb   a bird flu outbreak in the u s  that led to the deaths of more than 40 million chickens and turkeys and contributed to a spike in egg and meat prices  
