title,url,date_published,snippet,body,text
Golden State-Dallas playoff games score in weekly TV ratings,https://apnews.com/b47760a5e74689f5b78a8d73b68a4e8e,2022-05-25T00:14:57Z,"When the NBA playoffs take the TV court even the most popular shows find the competition tough. Last week’s No. 1 program was the Golden State-Dallas conference finals matchup, in which the Warriors extended their winning streak to three out…","By LYNN ELBER - AP Television Writer
LOS ANGELES (AP) When the NBA playoffs take the TV court even the most popular shows find the competition daunting.
Last week's No. 1 program was the Golden Sta… [+2274 chars]",golden state dallas playoff games score in weekly tv ratings when the nba playoffs take the tv court even the most popular shows find the competition tough last week s no 1 program was the golden state dallas conference finals matchup in which the warriors extended their winning streak to three out by lynn elber ap television writer los angeles when the nba playoffs take the tv court even the most popular shows find the competition daunting last week s no 1 program was the golden sta 
'Stranger Things' return encourages weekend binging,https://apnews.com/3126d430e64dfb9016e3afc719ecbf6b,2022-06-01T22:37:43Z,"There's no mystery about how millions of fans of Netflix's sci-fi drama “Stranger Things” spent their Memorial Day weekend. The service says seven episodes of the show's much-awaited fourth season were streamed for 286 million hours, a record for an…","By DAVID BAUDER - AP Media Writer
NEW YORK (AP) For millions of fans of Netflix's sci-fi drama Stranger Things, there's little mystery in how they spent their Memorial Day weekend.
Netflix released… [+3517 chars]", stranger things return encourages weekend binging there s no mystery about how millions of fans of netflix s sci fi drama stranger things spent their memorial day weekend the service says seven episodes of the show s much awaited fourth season were streamed for 286 million hours a record for an by david bauder ap media writer new york for millions of fans of netflix s sci fi drama stranger things there s little mystery in how they spent their memorial day weekend netflix released 
Warriors beat Celtics 103-90 to win 4th NBA title in 8 years,https://apnews.com/c6818338e673369a41ee8951ebe3b2f5,2022-06-17T03:46:33Z,"The Golden State Warriors are NBA champions once again, topping the Boston Celtics 103-90 for their fourth title in the last eight seasons. Stephen Curry scored 34 points for the Warriors, who claimed the franchise’s seventh championship overall. And this…","By KYLE HIGHTOWER - AP Sports Writer
BOSTON (AP) The Golden State Warriors are NBA champions once again, topping the Boston Celtics 103-90 on Thursday night for their fourth title in the last eight … [+6149 chars]",warriors beat celtics 103 90 to win 4th nba title in 8 years the golden state warriors are nba champions once again topping the boston celtics 103 90 for their fourth title in the last eight seasons stephen curry scored 34 points for the warriors who claimed the franchise s seventh championship overall and this by kyle hightower ap sports writer boston the golden state warriors are nba champions once again topping the boston celtics 103 90 on thursday night for their fourth title in the last eight 
NBA's Montrezl Harrell facing felony marijuana charge,https://apnews.com/618844e11283e37fb1339ea45149cc5c,2022-06-14T02:53:30Z,"Charlotte Hornets forward Montrezl Harrell is facing a felony drug charge after authorities said they found vacuum-sealed bags of marijuana in his car during a traffic stop. According to court records, the 28-year-old Harrell was pulled over in Richmond, Kent…","RICHMOND, Ky. (AP) Charlotte Hornets forward Montrezl Harrell is facing a felony drug charge after authorities said they found vacuum-sealed bags of marijuana in his car during a traffic stop.
Harre… [+1211 chars]",nba s montrezl harrell facing felony marijuana charge charlotte hornets forward montrezl harrell is facing a felony drug charge after authorities said they found vacuum sealed bags of marijuana in his car during a traffic stop according to court records the 28 year old harrell was pulled over in richmond kent richmond ky charlotte hornets forward montrezl harrell is facing a felony drug charge after authorities said they found vacuum sealed bags of marijuana in his car during a traffic stop harre 
Title IX: Icons warn of complacency amid law's success,https://apnews.com/88577a25c2b488e16e96cdfce37a0b31,2022-06-14T17:42:17Z,"Some of the giants of women’s basketball say if not for Title IX, doors would not have been open for them to blaze trails to Hall of Fame careers on and off the court, but sound complacency alarms when it…","By TERESA M. WALKER - AP Sports Writer
KNOXVILLE, Tenn. (AP) Some of the giants of womens basketball say if not for Title IX, doors would not have been open for them to blaze trails to Hall of Fame … [+5553 chars]",title ix icons warn of complacency amid law s success some of the giants of women s basketball say if not for title ix doors would not have been open for them to blaze trails to hall of fame careers on and off the court but sound complacency alarms when it by teresa m walker ap sports writer knoxville tenn some of the giants of womens basketball say if not for title ix doors would not have been open for them to blaze trails to hall of fame 
"Today in History: June 13, Johnson nominates Marshall",https://apnews.com/2f3417f5ab6464067e60ed4b9bcbd107,2022-06-13T04:00:08Z,Today in History,"Today in History
Today is Monday, June 13, the 164th day of 2022. There are 201 days left in the year.
Todays Highlight in History:
On June 13, 1967, President Lyndon B. Johnson nominated Solicito… [+5405 chars]",today in history june 13 johnson nominates marshall today in history today in history today is monday june 13 the 164th day of 2022 there are 201 days left in the year todays highlight in history on june 13 1967 president lyndon b johnson nominated solicito 
"NBA Finals, Jan. 6 hearing lead ABC to ratings win",https://apnews.com/a4d62b165e3a767ac6014dc4d65936c2,2022-06-14T21:53:48Z,ABC took home the crown as television's top-rated network last week behind two games of the NBA Finals series between the Golden State Warriors and Boston Celtics. The network's news division also won bragging rights for the most-watched coverage of…,"By DAVID BAUDER - AP Media Writer
NEW YORK (AP) ABC was the top-rated television network last week largely behind the NBA Finals, and its news division won bragging rights for the first prime-time h… [+2373 chars]",nba finals jan 6 hearing lead abc to ratings win abc took home the crown as television s top rated network last week behind two games of the nba finals series between the golden state warriors and boston celtics the network s news division also won bragging rights for the most watched coverage of by david bauder ap media writer new york abc was the top rated television network last week largely behind the nba finals and its news division won bragging rights for the first prime time h 
Slain NBA player's ex-wife denied parole in Tennessee,https://apnews.com/77fcbb19dd5db696b24af16b6f62ad9c,2022-05-23T15:09:01Z,The Tennessee Board of Parole says Lorenzen Wright’s ex-wife will not be granted early release from a 30-year prison sentence she received after pleading guilty to plotting the retired NBA player’s 2010 slaying. The board voted to deny parole for…,"MEMPHIS, Tenn. (AP) Lorenzen Wrights ex-wife will not be granted early release from a 30-year prison sentence she received after pleading guilty to plotting the retired NBA players 2010 slaying, the … [+2604 chars]",slain nba player s ex wife denied parole in tennessee the tennessee board of parole says lorenzen wright s ex wife will not be granted early release from a 30 year prison sentence she received after pleading guilty to plotting the retired nba player s 2010 slaying the board voted to deny parole for memphis tenn lorenzen wrights ex wife will not be granted early release from a 30 year prison sentence she received after pleading guilty to plotting the retired nba players 2010 slaying the 
Nielsen list illustrates power of franchises for networks,https://apnews.com/2911ec72f44b23104891b5e381ac9e88,2022-05-17T23:31:26Z,"Broadcast television networks, inundated with competition from cable and streaming services, have learned the power of franchises. Last week's Nielsen company list is a stark reminder: 12 of the 20 most popular scripted series last week were parts of existing…","By DAVID BAUDER - AP Media Writer
NEW YORK (AP) With the broadcast television season winding down and most scripted series about to go into hibernation for the summer, it's instructive to look at th… [+2535 chars]",nielsen list illustrates power of franchises for networks broadcast television networks inundated with competition from cable and streaming services have learned the power of franchises last week s nielsen company list is a stark reminder 12 of the 20 most popular scripted series last week were parts of existing by david bauder ap media writer new york with the broadcast television season winding down and most scripted series about to go into hibernation for the summer it s instructive to look at th 
"Curry scores 43 to beat Boston, Warriors tie NBA Finals 2-2",https://apnews.com/e0166f40336235445d4c821279e19b17,2022-06-11T03:43:11Z,Stephen Curry scored 43 points to lead the Golden State Warriors to a 107-97 victory over the Boston Celtics in Game 4 of the NBA Finals. The series returns to San Francisco knotted at two games apiece. Curry added 10…,"By JIMMY GOLEN - AP Sports Writer
BOSTON (AP) Stephen Curry scored 43 points to lead the Golden State Warriors to a 107-97 victory over the Boston Celtics in Game 4 of the NBA Finals on Friday night… [+2696 chars]",curry scores 43 to beat boston warriors tie nba finals 2 2 stephen curry scored 43 points to lead the golden state warriors to a 107 97 victory over the boston celtics in game 4 of the nba finals the series returns to san francisco knotted at two games apiece curry added 10 by jimmy golen ap sports writer boston stephen curry scored 43 points to lead the golden state warriors to a 107 97 victory over the boston celtics in game 4 of the nba finals on friday night 
"Celtics have huge 4th, beat Warriors in Game 1 of NBA Finals",https://apnews.com/9a496f93c53b904bdc3f23ad535bc12d,2022-06-03T03:43:29Z,"Jaylen Brown fueled a comeback charge and scored 24 points, Al Horford hit six 3-pointers and the Boston Celtics rode the most lopsided fourth quarter in NBA Finals history to a 120-108 victory over the Golden State Warriors in Game…","By JANIE McCAULEY - AP Sports Writer
SAN FRANCISCO (AP) Jaylen Brown fueled a comeback charge and scored 24 points, Al Horford hit six 3-pointers and the Boston Celtics rode the most lopsided fourth… [+5353 chars]",celtics have huge 4th beat warriors in game 1 of nba finals jaylen brown fueled a comeback charge and scored 24 points al horford hit six 3 pointers and the boston celtics rode the most lopsided fourth quarter in nba finals history to a 120 108 victory over the golden state warriors in game by janie mccauley ap sports writer san francisco jaylen brown fueled a comeback charge and scored 24 points al horford hit six 3 pointers and the boston celtics rode the most lopsided fourth 
"Boston, Miami in tight series, though games are anything but",https://apnews.com/79b9781410fbc938d8f945ef5acb0d7d,2022-05-24T06:34:27Z,"The Eastern Conference finals between the Heat and Celtics are as close as can be, heading back to Miami all tied up at two wins apiece. But the individual games have been anything but. Boston scored 18 of the first…","By JIMMY GOLEN - AP Sports Writer
BOSTON (AP) Huge leads. Lengthy scoring droughts. Blowouts.
The Eastern Conference finals between the Heat and Celtics are as close as can be heading back to Miami… [+3552 chars]",boston miami in tight series though games are anything but the eastern conference finals between the heat and celtics are as close as can be heading back to miami all tied up at two wins apiece but the individual games have been anything but boston scored 18 of the first by jimmy golen ap sports writer boston huge leads lengthy scoring droughts blowouts the eastern conference finals between the heat and celtics are as close as can be heading back to miami 
"State Dept pushing to see Griner, NBA Commissioner weighs in",https://apnews.com/569554b6579ce77bb12c6a134fb9ef68,2022-05-18T00:20:10Z,"The State Department said Tuesday that it still pushing to have regular contact with WNBA star Brittney Griner, who has been detained in Russia for nearly three months. A consular official was able to meet with Griner last week, when…","By TIM REYNOLDS - AP Basketball Writer
The State Department said Tuesday that it still pushing to have regular contact with WNBA star Brittney Griner of the Phoenix Mercury, who has been detained in… [+2721 chars]",state dept pushing to see griner nba commissioner weighs in the state department said tuesday that it still pushing to have regular contact with wnba star brittney griner who has been detained in russia for nearly three months a consular official was able to meet with griner last week when by tim reynolds ap basketball writer the state department said tuesday that it still pushing to have regular contact with wnba star brittney griner of the phoenix mercury who has been detained in 
"Celtics beat Warriors 116-100, take 2-1 lead in NBA Finals",https://apnews.com/6dfedf77d9a6d59668546abd9546ac5d,2022-06-09T03:47:47Z,"Jaylen Brown scored 27 points, Jayson Tatum added 26 and the Boston Celtics beat back another third-quarter onslaught by the Golden State Warriors in a 116-100 victory that gave them a 2-1 lead in the NBA Finals. Marcus Smart added…","By KYLE HIGHTOWER - AP Sports Writer
BOSTON (AP) Jaylen Brown scored 27 points, Jayson Tatum added 26 and the Boston Celtics beat back another third-quarter onslaught by the Golden State Warriors in… [+1145 chars]",celtics beat warriors 116 100 take 2 1 lead in nba finals jaylen brown scored 27 points jayson tatum added 26 and the boston celtics beat back another third quarter onslaught by the golden state warriors in a 116 100 victory that gave them a 2 1 lead in the nba finals marcus smart added by kyle hightower ap sports writer boston jaylen brown scored 27 points jayson tatum added 26 and the boston celtics beat back another third quarter onslaught by the golden state warriors in 
AP source: Lakers choose Darvin Ham as next head coach,https://apnews.com/6675eab257eb78e6495a351feae974ad,2022-05-28T01:11:07Z,A person with knowledge of the decision says Darvin Ham has accepted an offer to be the next head coach of the Los Angeles Lakers. The person spoke with The Associated Press on condition of anonymity because the deal has…,"LOS ANGELES (AP) A person with knowledge of the decision says Darvin Ham has accepted an offer to be the next head coach of the Los Angeles Lakers.
The person spoke with The Associated Press on Frid… [+1727 chars]",ap source lakers choose darvin ham as next head coach a person with knowledge of the decision says darvin ham has accepted an offer to be the next head coach of the los angeles lakers the person spoke with on condition of anonymity because the deal has los angeles a person with knowledge of the decision says darvin ham has accepted an offer to be the next head coach of the los angeles lakers the person spoke with on frid 
Deer District shootings leave Milwaukee leaders at the brink,https://apnews.com/ef091c42d86811fdbd52bd13238a2104,2022-05-17T23:44:40Z,Milwaukee’s mayor and police chief are pleading with citizens and lawmakers to help address ongoing gun violence punctuated by shootings outside an NBA playoff game that left 21 injured. Police Chief Jeffrey Norman said at a press conference Tuesday that…,"Milwaukee's mayor and police chief on Tuesday pleaded with citizens and lawmakers to help address ongoing gun violence punctuated by shootings outside an NBA playoff game that left 21 injured.
Polic… [+3776 chars]",deer district shootings leave milwaukee leaders at the brink milwaukee s mayor and police chief are pleading with citizens and lawmakers to help address ongoing gun violence punctuated by shootings outside an nba playoff game that left 21 injured police chief jeffrey norman said at a press conference tuesday that milwaukee s mayor and police chief on tuesday pleaded with citizens and lawmakers to help address ongoing gun violence punctuated by shootings outside an nba playoff game that left 21 injured polic 
LeBron trading card could fetch record price at auction,https://apnews.com/7bdf386242b01186eddf43292aada66f,2022-06-15T21:34:20Z,LeBron James might be on the cusp of setting another record. And someone will have to pay a lot of money to make it happen. A one-of-a-kind James trading card called the “Triple Logoman” is up for auction this month.…,"RUNNEMEDE, N.J. (AP) LeBron James might be on the cusp of setting another record.
And someone will have to pay a lot of money to make it happen.
A one-of-a-kind James trading card called the Triple… [+2282 chars]",lebron trading card could fetch record price at auction lebron james might be on the cusp of setting another record and someone will have to pay a lot of money to make it happen a one of a kind james trading card called the triple logoman is up for auction this month runnemede n j lebron james might be on the cusp of setting another record and someone will have to pay a lot of money to make it happen a one of a kind james trading card called the triple 
"Warriors answer in Game 2, top Celtics 107-88 to even Finals",https://apnews.com/0e47042b85aadcfc9eab524f0d031e5c,2022-06-06T02:48:57Z,"Stephen Curry scored 29 points, Jordan Poole connected from just inside of midcourt to cap a huge third-quarter run and the Golden State Warriors evened the NBA Finals at a game apiece by beating the Boston Celtics 107-88 on Sunday…","By TIM REYNOLDS - AP Basketball Writer
SAN FRANCISCO (AP) Stephen Curry scored 29 points, Jordan Poole connected from just inside of midcourt to cap a huge third-quarter run and the Golden State War… [+4608 chars]",warriors answer in game 2 top celtics 107 88 to even finals stephen curry scored 29 points jordan poole connected from just inside of midcourt to cap a huge third quarter run and the golden state warriors evened the nba finals at a game apiece by beating the boston celtics 107 88 on sunday by tim reynolds ap basketball writer san francisco stephen curry scored 29 points jordan poole connected from just inside of midcourt to cap a huge third quarter run and the golden state war 
"Curry, Green, Thompson seek one win to add another title",https://apnews.com/3090fb13685f53c29873fdd6138751d9,2022-06-14T22:42:17Z,"When Stephen Curry and Klay Thompson and emotional, do-everything teammate Draymond Green began Golden State’s climb nearly a decade ago, they were still relatively young and each establishing themselves in their careers. At far different stages of their resp…","By JANIE McCAULEY - AP Sports Writer
SAN FRANCISCO (AP) When Stephen Curry, Klay Thompson and emotional, do-everything teammate Draymond Green began Golden States climb nearly a decade ago, they wer… [+4889 chars]",curry green thompson seek one win to add another title when stephen curry and klay thompson and emotional do everything teammate draymond green began golden state s climb nearly a decade ago they were still relatively young and each establishing themselves in their careers at far different stages of their resp by janie mccauley ap sports writer san francisco when stephen curry klay thompson and emotional do everything teammate draymond green began golden states climb nearly a decade ago they wer 
Some 20 million watch primetime hearing of House 1/6 panel,https://apnews.com/ca37532811b317cf67ec076c5f80f9e6,2022-06-10T22:11:43Z,An estimated 20 million people watched Thursday night’s hearing of the House panel investigating the Jan. 6 insurrection at the U.S. Capitol. The figures released Friday by the Nielsen Company include viewers from 12 television networks that aired the rare…,"NEW YORK (AP) An estimated 20 million people watched Thursday night's hearing of the House panel investigating the Jan. 6 insurrection at the U.S. Capitol.
The figures released Friday by the Nielsen… [+1288 chars]",some 20 million watch primetime hearing of house 1 6 panel an estimated 20 million people watched thursday night s hearing of the house panel investigating the jan 6 insurrection at the u s capitol the figures released friday by the nielsen company include viewers from 12 television networks that aired the rare new york an estimated 20 million people watched thursday night s hearing of the house panel investigating the jan 6 insurrection at the u s capitol the figures released friday by the nielsen 
Analysis: Celtics in 2022 have parallels to Warriors in 2015,https://apnews.com/399a7bf9526559a573d49c16defd5569,2022-06-03T06:29:13Z,"When the Golden State Warriors look at the tape of Game 1 of the NBA Finals, they’ll see both the present and the past. They’ll see the Boston Celtics, the 2022 version. They’ll also see a team that looks a…","By TIM REYNOLDS - AP Basketball Writer
SAN FRANCISCO (AP) When the Golden State Warriors look at the tape of Game 1 of the NBA Finals, theyll see both the present and the past.
Theyll see the Bosto… [+4635 chars]",analysis celtics in 2022 have parallels to warriors in 2015 when the golden state warriors look at the tape of game 1 of the nba finals they ll see both the present and the past they ll see the boston celtics the 2022 version they ll also see a team that looks a by tim reynolds ap basketball writer san francisco when the golden state warriors look at the tape of game 1 of the nba finals theyll see both the present and the past theyll see the bosto 
"Warriors cap title run, NBA flips the page to 2022-23 season",https://apnews.com/b38b59409acc7d984f1093cf28c41106,2022-06-17T17:48:32Z,"A parade awaits in San Francisco to celebrate the champion Golden State Warriors. The NBA draft is a few days away, with presumed top-three picks Jabari Smith, Chet Holmgren and Paolo Banchero set to take their first steps toward realizing…","By TIM REYNOLDS - AP Basketball Writer
A parade awaits in San Francisco to celebrate the champion Golden State Warriors. The NBA draft is a few days away, with presumed top-three picks Jabari Smith,… [+5575 chars]",warriors cap title run nba flips the page to 2022 23 season a parade awaits in san francisco to celebrate the champion golden state warriors the nba draft is a few days away with presumed top three picks jabari smith chet holmgren and paolo banchero set to take their first steps toward realizing by tim reynolds ap basketball writer a parade awaits in san francisco to celebrate the champion golden state warriors the nba draft is a few days away with presumed top three picks jabari smith 
Pelicans' CJ McCollum joining ESPN as an NBA analyst,https://apnews.com/ffd0241baf7c3b771ca220b5983cebe8,2022-05-30T17:09:39Z,New Orleans guard and NBA Players Association president CJ McCollum has added another title to his busy schedule — NBA analyst for ESPN. The network announced Monday that they have signed the Pelicans star to a multi-platform deal. He will…,"New Orleans guard and NBA Players Association president CJ McCollum has added another title to his busy schedule NBA analyst for ESPN.
The network announced Monday that they have signed the Pelicans… [+2107 chars]",pelicans cj mccollum joining espn as an nba analyst new orleans guard and nba players association president cj mccollum has added another title to his busy schedule nba analyst for espn the network announced monday that they have signed the pelicans star to a multi platform deal he will new orleans guard and nba players association president cj mccollum has added another title to his busy schedule nba analyst for espn the network announced monday that they have signed the pelicans 
NBA Finals preview: Breaking down Celtics-Warriors matchup,https://apnews.com/080e6e5b253a8768a017d006a172bd8d,2022-06-01T17:09:14Z,"The NBA Finals start Thursday night. Golden State is seeking a fourth championship in eight years, while the Boston Celtics are trying to break a tie with the Los Angeles Lakers and become the first team with 18 NBA titles.…","By TIM REYNOLDS - AP Basketball Writer
SAN FRANCISCO (AP) Preview capsule for the NBA Finals, which start Thursday:
East No. 2 BOSTON CELTICS (51-31, 12-6) vs. West No. 3 GOLDEN STATE WARRIORS (53-… [+5653 chars]",nba finals preview breaking down celtics warriors matchup the nba finals start thursday night golden state is seeking a fourth championship in eight years while the boston celtics are trying to break a tie with the los angeles lakers and become the first team with 18 nba titles by tim reynolds ap basketball writer san francisco preview capsule for the nba finals which start thursday east no 2 boston celtics vs west no 3 golden state warriors 53 
