title,url,date_published,snippet,body,text
Foreign investors are fleeing China,https://www.economist.com/finance-and-economics/2022/05/22/foreign-investors-are-fleeing-china,2022-05-22T15:29:50Z,Xi Jinping’s policies are having a profound impact on markets—and a painful one,"Jingan century, a housing development with ponds and lush greenery in north Shanghai, should have been bustling with activity as workers put the finishing touches on flats. Instead the area is silent… [+9199 chars]",foreign investors are fleeing china xi jinping s policies are having a profound impact on markets and a painful one jingan century a housing development with ponds and lush greenery in north shanghai should have been bustling with activity as workers put the finishing touches on flats instead the area is silent 
Mighty Asian financial institutions are reshaping global capital flows,https://www.economist.com/finance-and-economics/2022/06/09/mighty-asian-financial-institutions-are-reshaping-global-capital-flows,2022-06-09T10:04:17Z,The response to rising American interest rates is becoming less predictable,"When the Federal Reserve raises interest rates, the effects are felt far and wide. Capital shifts in and out of the huge stock of global dollar-denominated assets. The Fed is expected to act forceful… [+4293 chars]",mighty asian financial institutions are reshaping global capital flows the response to rising american interest rates is becoming less predictable when the federal reserve raises interest rates the effects are felt far and wide capital shifts in and out of the huge stock of global dollar denominated assets the fed is expected to act forceful 
"Short-sightedness was rare. In Asia, it is becoming ubiquitous",https://www.economist.com/science-and-technology/2022/06/09/short-sightedness-was-rare-in-asia-it-is-becoming-ubiquitous,2022-06-09T15:05:07Z,That is storing up problems for the future,"In the early 1980s Taiwans army realised it had a problem. More and more of its conscripts seemed to be short-sighted, meaning they needed glasses to focus on distant objects. They were worried that … [+9855 chars]",short sightedness was rare in asia it is becoming ubiquitous that is storing up problems for the future in the early 1980s taiwans army realised it had a problem more and more of its conscripts seemed to be short sighted meaning they needed glasses to focus on distant objects they were worried that 
Corporate espionage is entering a new era,https://www.economist.com/business/2022/05/30/corporate-espionage-is-entering-a-new-era,2022-05-30T19:54:57Z,Companies need to take it more seriously,"For espionage of the cloak-and-dagger variety, it is hard to beat the pages of John le Carré or Ian Fleming. But the world of corporate spying has plenty of drama of its own. Take the alleged skuldug… [+10208 chars]",corporate espionage is entering a new era companies need to take it more seriously for espionage of the cloak and dagger variety it is hard to beat the pages of john le carr or ian fleming but the world of corporate spying has plenty of drama of its own take the alleged skuldug 
Taiwan is worried about the security of its chip industry,https://www.economist.com/asia/2022/05/26/taiwan-is-worried-about-the-security-of-its-chip-industry,2022-05-26T14:11:50Z,New laws are meant to prevent espionage and leaking,"For a brief moment on May 23rd, it seemed as if American policy towards Taiwan had undergone a sudden and dramatic change. Asked if America would get involved militarily to defend Taiwan in case of a… [+5467 chars]",taiwan is worried about the security of its chip industry new laws are meant to prevent espionage and leaking for a brief moment on may 23rd it seemed as if american policy towards taiwan had undergone a sudden and dramatic change asked if america would get involved militarily to defend taiwan in case of a 
Joe Biden vows to deepen America’s ties with South Korea,https://www.economist.com/asia/2022/05/26/joe-biden-vows-to-deepen-americas-ties-with-south-korea,2022-05-26T14:11:50Z,That works better when no mention is made of China,"When president joe biden paid a visit to South Korea on May 20th, the first stop on a five-day tour of East Asia, he brought a special present for his South Korean counterpart. Yoon Suk-yeol, who too… [+3134 chars]",joe biden vows to deepen america s ties with south korea that works better when no mention is made of china when president joe biden paid a visit to south korea on may 20th the first stop on a five day tour of east asia he brought a special present for his south korean counterpart yoon suk yeol who too 
Joe Biden has big plans for his first presidential trip to Asia,https://www.economist.com/asia/2022/05/20/joe-biden-has-big-plans-for-his-first-presidential-trip-to-asia,2022-05-20T17:55:05Z,"To draw the region closer to America, he will need to show what it has to offer","OVER THE past quarter century, American presidents have repeatedly come up with plans to counter China, only to be sidetracked. George W. Bush branded China a strategic competitor, but soon became pr… [+4634 chars]",joe biden has big plans for his first presidential trip to asia to draw the region closer to america he will need to show what it has to offer over the past quarter century american presidents have repeatedly come up with plans to counter china only to be sidetracked george w bush branded china a strategic competitor but soon became pr 
Asia’s advanced economies now have lower birth rates than Japan,https://www.economist.com/asia/2022/05/19/asias-advanced-economies-now-have-lower-birth-rates-than-japan,2022-05-19T14:26:27Z,The cost of housing may be the biggest factor,"The list of things for which Japan enjoys a global reputation includes delicious food, cutting-edge technology, an oversupply of karaoke bars and an undersupply of babies. In 1990 it published a reco… [+4625 chars]",asia s advanced economies now have lower birth rates than japan the cost of housing may be the biggest factor the list of things for which japan enjoys a global reputation includes delicious food cutting edge technology an oversupply of karaoke bars and an undersupply of babies in 1990 it published a reco 
"China, meet Fourth Estate",https://www.economist.com/special-report/2022/05/20/china-meet-fourth-estate,2022-05-20T13:41:03Z,"China is working hard to shape public opinion in Africa, but its more lasting impact could be on the infrastructure of media itself",Thecall came from the Chinese embassy. During a video meeting in March Joe Biden had warned Xi Jinping of consequences if China provided material support to Russia in its invasion of Ukraine. But Chi… [+9408 chars],china meet fourth estate china is working hard to shape public opinion in africa but its more lasting impact could be on the infrastructure of media itself thecall came from the chinese embassy during a video meeting in march joe biden had warned xi jinping of consequences if china provided material support to russia in its invasion of ukraine but chi 
"The Chinese-African relationship is important to both sides, but also unbalanced",https://www.economist.com/special-report/2022/05/20/the-chinese-african-relationship-is-important-to-both-sides-but-also-unbalanced,2022-05-20T13:41:03Z,If the West wants to counter China’s role in Africa it first must understand it,"Noothercountry comes near the depth and breadth of Chinas engagement in Africa. It is Africas largest trading partner, bilateral creditor and a crucial source of infrastructure investment. Chinese fi… [+5708 chars]",the chinese african relationship is important to both sides but also unbalanced if the west wants to counter china s role in africa it first must understand it noothercountry comes near the depth and breadth of chinas engagement in africa it is africas largest trading partner bilateral creditor and a crucial source of infrastructure investment chinese fi 
