title,url,date_published,snippet,body,text
"In stamping out covid, China has stomped on confidence",https://www.economist.com/finance-and-economics/2022/06/16/in-stamping-out-covid-china-has-stomped-on-confidence,2022-06-16T10:30:01Z,China is able to make and distribute more things again. But will consumers buy them?,"Foreign economists are forever urging China to increase its consumer spending. On June 18th each year, the country tends to oblige. That is the date of the 618 shopping festival, promoted by jd.com, … [+3749 chars]",in stamping out covid  china has stomped on confidence china is able to make and distribute more things again  but will consumers buy them  foreign economists are forever urging china to increase its consumer spending  on june 18th each year  the country tends to oblige  that is the date of the 618 shopping festival  promoted by jd com    
India’s once-vaunted statistical infrastructure is crumbling,https://www.economist.com/finance-and-economics/2022/05/19/indias-once-vaunted-statistical-infrastructure-is-crumbling,2022-05-19T10:05:09Z,The reasons are worryingly familiar,"The modern Indian state has a proud statistical heritage. Soon after the country gained independence in 1947, the government resolved to achieve its development through comprehensive five-year plans.… [+5501 chars]",india s once vaunted statistical infrastructure is crumbling the reasons are worryingly familiar the modern indian state has a proud statistical heritage  soon after the country gained independence in 1947  the government resolved to achieve its development through comprehensive five year plans   
Foreign investors are fleeing China,https://www.economist.com/finance-and-economics/2022/05/22/foreign-investors-are-fleeing-china,2022-05-22T15:29:50Z,Xi Jinping’s policies are having a profound impact on markets—and a painful one,"Jingan century, a housing development with ponds and lush greenery in north Shanghai, should have been bustling with activity as workers put the finishing touches on flats. Instead the area is silent… [+9199 chars]",foreign investors are fleeing china xi jinping s policies are having a profound impact on markets and a painful one jingan century  a housing development with ponds and lush greenery in north shanghai  should have been bustling with activity as workers put the finishing touches on flats  instead the area is silent  
A focus on GDP understates the strength of America’s recovery,https://www.economist.com/finance-and-economics/2022/06/09/a-focus-on-gdp-understates-the-strength-of-americas-recovery,2022-06-09T10:01:33Z,"Gross domestic income, a close cousin, paints a far rosier picture","It is fashionable in some circles to lament the cult of gross domestic product. The pursuit of growth, this criticism goes, blinds officials to less quantifiable but worthier objectives, be it a cont… [+6018 chars]",a focus on gdp understates the strength of america s recovery gross domestic income  a close cousin  paints a far rosier picture it is fashionable in some circles to lament the cult of gross domestic product  the pursuit of growth  this criticism goes  blinds officials to less quantifiable but worthier objectives  be it a cont  
Air starts to seep out of the bubbly Canadian property market,https://www.economist.com/finance-and-economics/2022/06/09/air-starts-to-seep-out-of-the-bubbly-canadian-property-market,2022-06-09T10:13:34Z,Two decades of nearly uninterrupted price gains collide with rising mortgage costs,"Tired, old stereotypes portray Canada as the frigid north, awash in maple syrup, hockey and politeness. In the financial world it has earned a more novel, racier reputation: as home to a giant housin… [+4397 chars]",air starts to seep out of the bubbly canadian property market two decades of nearly uninterrupted price gains collide with rising mortgage costs tired  old stereotypes portray canada as the frigid north  awash in maple syrup  hockey and politeness  in the financial world it has earned a more novel  racier reputation  as home to a giant housin  
The return of the inventory cycle,https://www.economist.com/finance-and-economics/2022/06/02/the-return-of-the-inventory-cycle,2022-06-02T10:24:18Z,Why companies have become more prone to over-ordering stock,Remember the Great Moderation? This refers to the period before the global financial crisis of 2007-09 during which there was a marked fall in the volatility of gdp growth in rich countries. Explanat… [+4594 chars],the return of the inventory cycle why companies have become more prone to over ordering stock remember the great moderation  this refers to the period before the global financial crisis of 2007 09 during which there was a marked fall in the volatility of gdp growth in rich countries  explanat  
The credit market has not cracked yet,https://www.economist.com/finance-and-economics/2022/05/26/the-credit-market-hasnt-cracked-yet,2022-05-26T10:33:55Z,"It is undergoing a painful repricing, but not veering into dysfunction","At their best, capital markets hold up a mirror to the real economy. They rise and fall in tandem with companies fortunes, encouraging investors to direct money towards the firms most likely to make … [+3678 chars]",the credit market hasn t cracked yet it is undergoing a painful repricing  but not veering into dysfunction at their best  capital markets hold up a mirror to the real economy  they rise and fall in tandem with companies fortunes  encouraging investors to direct money towards the firms most likely to make   
A curious breed of financing vehicle illustrates a dilemma for China’s policymakers,https://www.economist.com/finance-and-economics/2022/06/02/a-curious-breed-of-financing-vehicle-illustrates-a-dilemma-for-chinas-policymakers,2022-06-02T10:32:25Z,"Local government financing vehicles, once the motor of growth, are under scrutiny","Chinas local-government financiers have a complex identity. Tasked with developing land and doing public works, they act on behalf of, and with approval from, city and provincial authorities. Yet at … [+3848 chars]",a curious breed of financing vehicle illustrates a dilemma for china s policymakers local government financing vehicles  once the motor of growth  are under scrutiny chinas local government financiers have a complex identity  tasked with developing land and doing public works  they act on behalf of  and with approval from  city and provincial authorities  yet at   
The construction industry remains horribly climate-unfriendly,https://www.economist.com/finance-and-economics/2022/06/15/the-construction-industry-remains-horribly-climate-unfriendly,2022-06-15T16:40:41Z,Governments are falling well short in their efforts to turn things around,"Covid-induced lockdowns may have upended the world of work, but they have not killed the skyscraper. Even as workers stay home to avoid the commute, cities penchant for these concrete marvels of engi… [+7250 chars]",the construction industry remains horribly climate unfriendly governments are falling well short in their efforts to turn things around covid induced lockdowns may have upended the world of work  but they have not killed the skyscraper  even as workers stay home to avoid the commute  cities penchant for these concrete marvels of engi  
America’s inflation headache gets worse,https://www.economist.com/finance-and-economics/2022/06/13/americas-inflation-headache-gets-worse,2022-06-13T20:39:22Z,"As prices soar, markets tumble—and the Democrats may be next","In an alternate universe, America clearly passed its peak in inflation a couple of months ago; the Federal Reserve is still talking tough but investors have started to expect less monetary tightening… [+4837 chars]",america s inflation headache gets worse as prices soar  markets tumble and the democrats may be next in an alternate universe  america clearly passed its peak in inflation a couple of months ago  the federal reserve is still talking tough but investors have started to expect less monetary tightening  
Should China spend more on infrastructure?,https://www.economist.com/finance-and-economics/2022/06/02/should-china-spend-more-on-infrastructure,2022-06-02T10:18:17Z,Such stimulus would be less wasteful than a recession,"Rarely can so much have been used by so few. During Shanghais long lockdown, which mercifully eased this week, the citys impressive infrastructure stood in splendid isolation from most of the citizen… [+6098 chars]",should china spend more on infrastructure  such stimulus would be less wasteful than a recession rarely can so much have been used by so few  during shanghais long lockdown  which mercifully eased this week  the citys impressive infrastructure stood in splendid isolation from most of the citizen  
What America’s next recession will look like,https://www.economist.com/finance-and-economics/2022/06/01/what-americas-next-recession-will-look-like,2022-06-01T19:55:11Z,A mild downturn may be followed by a painfully prolonged recovery,"These days it is hard to turn a corner without bumping into predictions of an American recession. Big banks, prominent economists and former officials are all saying that a downturn is a near certain… [+16822 chars]",what america s next recession will look like a mild downturn may be followed by a painfully prolonged recovery these days it is hard to turn a corner without bumping into predictions of an american recession  big banks  prominent economists and former officials are all saying that a downturn is a near certain  
Even China’s official economic figures look bleak,https://www.economist.com/finance-and-economics/2022/05/19/even-chinas-official-economic-figures-look-bleak,2022-05-19T09:45:16Z,The most spectacular declines are in the all-important property sector,"When china was locked down during the first wave of the pandemic in early 2020, economic forecasters had to make two predictions: how much would the economy suffer? And how much of this suffering wou… [+3757 chars]",even china s official economic figures look bleak the most spectacular declines are in the all important property sector when china was locked down during the first wave of the pandemic in early 2020  economic forecasters had to make two predictions  how much would the economy suffer  and how much of this suffering wou  
The Fed’s flawed plan to avoid a recession,https://www.economist.com/finance-and-economics/2022/06/14/the-feds-flawed-plan-to-avoid-a-recession,2022-06-14T20:07:58Z,The central bank thinks it can reduce job vacancies without job losses,"Americaneconomists are no longer hawks or doves, but optimists or pessimists. With annual inflation running at 8.6% in May, everyone agrees the Federal Reserve needs to raise interest rates sharply. … [+6216 chars]",the fed s flawed plan to avoid a recession the central bank thinks it can reduce job vacancies without job losses americaneconomists are no longer hawks or doves  but optimists or pessimists  with annual inflation running at 8 6  in may  everyone agrees the federal reserve needs to raise interest rates sharply    
The spread of monkeypox,https://www.economist.com/science-and-technology/2022/05/25/the-spread-of-monkeypox,2022-05-25T17:18:54Z,It is not covid mk2. But it needs to be nipped in the bud,"Since britain reported a case of monkeypox on May 7th, more than 300 further instances have been noted across the world. The disease, which is usually confined to Africa, is now present in at least 1… [+2847 chars]",the spread of monkeypox it is not covid mk2  but it needs to be nipped in the bud since britain reported a case of monkeypox on may 7th  more than 300 further instances have been noted across the world  the disease  which is usually confined to africa  is now present in at least 1  
The origin of the Black Death,https://www.economist.com/science-and-technology/2022/06/15/the-origin-of-the-black-death,2022-06-15T15:09:23Z,"It probably started in Central Asia, around 1338","Historys deadliestpandemic was the Black Death, an outbreak of plague that ravaged Europe, the Middle East and north Africa between 1346 and 1353. Where it struck, it killed up to 60% of the populati… [+4125 chars]",the origin of the black death it probably started in central asia  around 1338 historys deadliestpandemic was the black death  an outbreak of plague that ravaged europe  the middle east and north africa between 1346 and 1353  where it struck  it killed up to 60  of the populati  
Less educated people are finding it harder to adapt to climate change,https://www.economist.com/international/2022/06/01/less-educated-people-are-finding-it-harder-to-adapt-to-climate-change,2022-06-01T17:10:05Z,And covid learning loss has made them even more vulnerable,"When shadrack Lolokuru was nine or ten, his relatives put him into a bucket and lowered him into a well. From the murky bottom, he filled the bucket and passed it back up so the familys cows could dr… [+15464 chars]",less educated people are finding it harder to adapt to climate change and covid learning loss has made them even more vulnerable when shadrack lolokuru was nine or ten  his relatives put him into a bucket and lowered him into a well  from the murky bottom  he filled the bucket and passed it back up so the familys cows could dr  
The pandemic has accelerated a global decline in the rule of law,https://www.economist.com/international/2022/06/07/the-pandemic-has-accelerated-a-global-decline-in-the-rule-of-law,2022-06-07T13:43:56Z,But it has also brought some needed change to the way justice is administered,"Rose, a 40-year-old woman in Manila, long beaten up by her husband, finds her predicament markedly worsen as the covid-19 lockdown leaves him at home most of the time. A widow in rural Kenya is drive… [+9942 chars]",the pandemic has accelerated a global decline in the rule of law but it has also brought some needed change to the way justice is administered rose  a 40 year old woman in manila  long beaten up by her husband  finds her predicament markedly worsen as the covid 19 lockdown leaves him at home most of the time  a widow in rural kenya is drive  
Can tech tackle the global crisis of depression and anxiety?,https://www.economist.com/international/2022/06/17/can-tech-tackle-the-global-crisis-of-depression-and-anxiety,2022-06-17T17:42:22Z,Quite possibly. A new WHO report sets out the scale of the need,"DURING the early weeks of the pandemic in 2020, as China imposed strict controls on the movement of its citizens, technology became the main means of tackling anxiety and depression. Smartphones prov… [+4156 chars]",can tech tackle the global crisis of depression and anxiety  quite possibly  a new who report sets out the scale of the need during the early weeks of the pandemic in 2020  as china imposed strict controls on the movement of its citizens  technology became the main means of tackling anxiety and depression  smartphones prov  
Rising costs catch up with Walmart and Target,https://www.economist.com/business/2022/05/19/rising-costs-catch-up-with-walmart-and-target,2022-05-19T09:19:34Z,America’s big retailers’ shares swoon,Walmart went from strength to strength during the covid-19 pandemic. Its years-long investments in online fulfilment finally began to pay off as virus-wary shoppers swapped aisles for apps. As inflat… [+3536 chars],rising costs catch up with walmart and target america s big retailers  shares swoon walmart went from strength to strength during the covid 19 pandemic  its years long investments in online fulfilment finally began to pay off as virus wary shoppers swapped aisles for apps  as inflat  
Shares in America’s big retailers swoon,https://www.economist.com/business/2022/05/19/shares-in-americas-big-retailers-swoon,2022-05-19T09:19:34Z,Rising costs catch up with Walmart and Target,Walmart went from strength to strength during the covid-19 pandemic. Its years-long investments in online fulfilment finally began to pay off as virus-wary shoppers swapped aisles for apps. As inflat… [+3669 chars],shares in america s big retailers swoon rising costs catch up with walmart and target walmart went from strength to strength during the covid 19 pandemic  its years long investments in online fulfilment finally began to pay off as virus wary shoppers swapped aisles for apps  as inflat  
Amazon has a rest-of-the-world problem,https://www.economist.com/business/2022/06/16/amazon-has-a-rest-of-the-world-problem,2022-06-16T09:27:12Z,The Everything Store now has too much of everything,"As every wartime quartermaster knows, it is only when things go really wrong that you get noticedor shot. The same is true in the logistics business. That is why it made news recently that Dave Clark… [+6130 chars]",amazon has a rest of the world problem the everything store now has too much of everything as every wartime quartermaster knows  it is only when things go really wrong that you get noticedor shot  the same is true in the logistics business  that is why it made news recently that dave clark  
"SPACs raised billions. As mergers dry up, we follow the money",https://www.economist.com/business/2022/05/19/spacs-raised-billions-as-mergers-dry-up-we-follow-the-money,2022-05-19T09:29:01Z,It hasn’t gone where you think,American capitalism has a special reverence for large numbers. They can frighten as debt or reassure as backstops. The $260bn raised by special-purpose acquisition companies (spacs) since the start o… [+4284 chars],spacs raised billions  as mergers dry up  we follow the money it hasn t gone where you think american capitalism has a special reverence for large numbers  they can frighten as debt or reassure as backstops  the  260bn raised by special purpose acquisition companies  since the start o  
Fast fashion is in party mode,https://www.economist.com/business/2022/06/09/fast-fashion-is-in-party-mode,2022-06-09T09:53:35Z,Next up: the inevitable hangover,"For the last two months it has been busy like the weekend every day, sighs a sales assistant at a large Zara store on Tauentzienstrasse, a shopping street in the centre of Berlin. On the Tuesday afte… [+3957 chars]",fast fashion is in party mode next up  the inevitable hangover for the last two months it has been busy like the weekend every day  sighs a sales assistant at a large zara store on tauentzienstrasse  a shopping street in the centre of berlin  on the tuesday afte  
How modern executives are different,https://www.economist.com/business/2022/06/16/how-modern-executives-are-different,2022-06-16T10:23:01Z,"They need to work harder at more tasks, and to deploy softer skills","Spiritual growth is an odd mandate for business schools preparing graduates to make manna in a secular world. One such institution, hec Paris, has nevertheless decided to send students on a trek thro… [+4719 chars]",how modern executives are different they need to work harder at more tasks  and to deploy softer skills spiritual growth is an odd mandate for business schools preparing graduates to make manna in a secular world  one such institution  hec paris  has nevertheless decided to send students on a trek thro  
Is this the end of Davos man?,https://www.economist.com/business/2022/05/26/is-this-the-end-of-davos-man,2022-05-26T09:43:40Z,Don’t bank on it,"The annual meeting of the World Economic Forum (wef) is a study in contrasts: business and politics, East and West, north and south, a few insiders cloistered in wintry Davos and the billions of outs… [+2429 chars]",is this the end of davos man  don t bank on it the annual meeting of the world economic forum  is a study in contrasts  business and politics  east and west  north and south  a few insiders cloistered in wintry davos and the billions of outs  
Air travel is taking flight again,https://www.economist.com/business/2022/06/09/air-travel-is-taking-flight-again,2022-06-09T10:07:57Z,Headwinds still threaten the recovery,The pandemic denied both the pleasures and tribulations of travel. The urge to make up for lost holidays and reunions with friends and families has brought the sort of airport holiday chaos that trav… [+3237 chars],air travel is taking flight again headwinds still threaten the recovery the pandemic denied both the pleasures and tribulations of travel  the urge to make up for lost holidays and reunions with friends and families has brought the sort of airport holiday chaos that trav  
How to run a business at a time of stagflation,https://www.economist.com/business/2022/06/08/how-to-run-a-business-at-a-time-of-stagflation,2022-06-08T19:00:22Z,Chief executives dust off—and update—40-year-old management textbooks,"For the leaders of America Inc, high inflation is unwelcome. It is also unfamiliar. Warren Buffett, 91, the oldest boss in the s&amp;p 500 index of big firms, last warned about the dangers of rising … [+6688 chars]",how to run a business at a time of stagflation chief executives dust off and update 40 year old management textbooks for the leaders of america inc  high inflation is unwelcome  it is also unfamiliar  warren buffett  91  the oldest boss in the s amp p 500 index of big firms  last warned about the dangers of rising   
Covid-19 is spreading like wildfire in North Korea,https://www.economist.com/asia/2022/05/17/covid-19-is-spreading-like-wildfire-in-north-korea,2022-05-17T09:07:44Z,Yet Kim Jong Un has so far refused all offers of help,"JUST OVER a week after North Korea recorded its first case of covid-19, on May 8th, the official case count had risen to 168 infections and one death. That would be a creditable feat of containment w… [+4889 chars]",covid 19 is spreading like wildfire in north korea yet kim jong un has so far refused all offers of help just over a week after north korea recorded its first case of covid 19  on may 8th  the official case count had risen to 168 infections and one death  that would be a creditable feat of containment w  
What Australia’s new government will do,https://www.economist.com/asia/2022/05/22/what-australias-new-government-will-do,2022-05-22T14:07:57Z,"How Anthony Albanese, the new prime minister, will shape policy at home and abroad","TONIGHT, THE Australian people have voted for change, declared Australias new prime minister, Anthony Albanese, as the results of a federal election became clear. Voters have booted out their conserv… [+4250 chars]",what australia s new government will do how anthony albanese  the new prime minister  will shape policy at home and abroad tonight  the australian people have voted for change  declared australias new prime minister  anthony albanese  as the results of a federal election became clear  voters have booted out their conserv  
India’s politicians have figured out how to turn welfare into votes,https://www.economist.com/asia/2022/05/19/indias-politicians-have-figured-out-how-to-turn-welfare-into-votes,2022-05-19T14:26:28Z,Plastering the leader’s name and face on every handout helps,It is the middle of 2021. An Indian woman on her way to London approaches the customer-service desk at Frankfurt airport and presents her vaccination certificate. The airline agent looks at the docum… [+4502 chars],india s politicians have figured out how to turn welfare into votes plastering the leader s name and face on every handout helps it is the middle of 2021  an indian woman on her way to london approaches the customer service desk at frankfurt airport and presents her vaccination certificate  the airline agent looks at the docum  
Taiwan is worried about the security of its chip industry,https://www.economist.com/asia/2022/05/26/taiwan-is-worried-about-the-security-of-its-chip-industry,2022-05-26T14:11:50Z,New laws are meant to prevent espionage and leaking,"For a brief moment on May 23rd, it seemed as if American policy towards Taiwan had undergone a sudden and dramatic change. Asked if America would get involved militarily to defend Taiwan in case of a… [+5467 chars]",taiwan is worried about the security of its chip industry new laws are meant to prevent espionage and leaking for a brief moment on may 23rd  it seemed as if american policy towards taiwan had undergone a sudden and dramatic change  asked if america would get involved militarily to defend taiwan in case of a  
