title,url,date_published,snippet,body,text
The spread of monkeypox,https://www.economist.com/science-and-technology/2022/05/25/the-spread-of-monkeypox,2022-05-25T17:18:54Z,It is not covid mk2. But it needs to be nipped in the bud,"Since britain reported a case of monkeypox on May 7th, more than 300 further instances have been noted across the world. The disease, which is usually confined to Africa, is now present in at least 1… [+2847 chars]",the spread of monkeypox it is not covid mk2 but it needs to be nipped in the bud since britain reported a case of monkeypox on may 7th more than 300 further instances have been noted across the world the disease which is usually confined to africa is now present in at least 1 
UK: 50 new infections in biggest epidemic beyond Africa...,https://apnews.com/article/covid-politics-health-world-organization-epidemics-38415163d095019d3ef3b22286c109e3,2022-06-17T14:25:37Z,"UK: 50 new infections in biggest epidemic beyond Africa...

 
 
 
 (Second column, 9th story, link)

 

 

 
 Related stories:CDC Issues Guidance on Monkeypox as US Cases Balloon...

 

 
 
 Drudge Report Feed needs your support!   Become a Patron","LONDON (AP) British health officials reported another 50 cases of monkeypox across the country on Friday, for a total of 574 cases. That makes the U.K.s outbreak the biggest to date beyond Africa.
I… [+1585 chars]",uk 50 new infections in biggest epidemic beyond africa uk 50 new infections in biggest epidemic beyond africa related stories cdc issues guidance on monkeypox as us cases balloon drudge report feed needs your support become a patron london british health officials reported another 50 cases of monkeypox across the country on friday for a total of 574 cases that makes the u k s outbreak the biggest to date beyond africa i 
Portugal finds 5 monkeypox cases in men as outbreak spreads - The Associated Press,https://apnews.com/article/health-africa-spain-portugal-db38eb683180531f0589c347bfc85358,2022-05-19T15:27:16Z,"<ol><li>Portugal finds 5 monkeypox cases in men as outbreak spreads  The Associated Press
</li><li>UK confirms more cases of monkeypox  Fox News
</li><li>Why monkeypox cases are spreading in Europe, US  The Jerusalem Post
</li><li>Monkeypox: WHO warns viru…","LISBON, Portugal (AP) Portuguese health authorities on Wednesday confirmed five cases of monkeypox in young men, and Britain announced two more new cases, marking an unusual outbreak in Europe of a d… [+4430 chars]",portugal finds 5 monkeypox cases in men as outbreak spreads portugal finds 5 monkeypox cases in men as outbreak spreads uk confirms more cases of monkeypox fox news why monkeypox cases are spreading in europe us the jerusalem post monkeypox who warns viru lisbon portugal portuguese health authorities on wednesday confirmed five cases of monkeypox in young men and britain announced two more new cases marking an unusual outbreak in europe of a d 
WHO: Nearly 200 cases of monkeypox in more than 20 countries - The Associated Press,https://apnews.com/article/health-united-nations-epidemics-world-organization-5f502a613163d5c71e5bd7130eba3a03,2022-05-27T12:25:16Z,"<ol><li>WHO: Nearly 200 cases of monkeypox in more than 20 countries  The Associated Press
</li><li>How to protect yourself against monkeypox and what to do if you catch it  CNBC
</li><li>WHO Official on Monkeypox: 'This Is Not a Gay Disease'  NowThis News…","LONDON (AP) The World Health Organization says nearly 200 cases of monkeypox have been reported in more than 20 countries not usually known to have outbreaks of the unusual disease, but described the… [+3702 chars]",who nearly 200 cases of monkeypox in more than 20 countries who nearly 200 cases of monkeypox in more than 20 countries how to protect yourself against monkeypox and what to do if you catch it who official on monkeypox this is not a gay disease nowthis news london the world health organization says nearly 200 cases of monkeypox have been reported in more than 20 countries not usually known to have outbreaks of the unusual disease but described the 
Expert: Monkeypox likely spread by sex at 2 raves in Europe - The Associated Press,https://apnews.com/72a9efaaf5b55ace396398b839847505,2022-05-23T13:23:46Z,LONDON (AP) — A leading adviser to the World Health Organization described the unprecedented outbreak of the rare disease monkeypox  in developed countries as “a random event” that might be explained by risky sexual behavior at two recent mass events in Europ…,LONDON (AP) A leading adviser to the World Health Organization described the unprecedented outbreak of the rare disease monkeypox in developed countries as a random event that might be explained by r… [+5381 chars],expert monkeypox likely spread by sex at 2 raves in europe london a leading adviser to the world health organization described the unprecedented outbreak of the rare disease monkeypox in developed countries as a random event that might be explained by risky sexual behavior at two recent mass events in europ london a leading adviser to the world health organization described the unprecedented outbreak of the rare disease monkeypox in developed countries as a random event that might be explained by r 
What is monkeypox? What to know about where it is spreading - The Associated Press,https://apnews.com/article/monkeypox-what-to-know-d62250e909202943247552815dadb1de,2022-05-19T14:31:08Z,"<ol><li>What is monkeypox? What to know about where it's spreading  The Associated Press
</li><li>UK confirms more cases of monkeypox  Fox News
</li><li>A CDC expert answers questions on monkeypox  STAT
</li><li>Explained: What is Monkeypox? Its causes, sy…","LONDON (AP) European and American health authorities have identified a number of cases monkeypox in recent days, mostly in young men. Its a surprising outbreak of disease that rarely appears outside … [+4108 chars]",what is monkeypox what to know about where it is spreading what is monkeypox what to know about where it s spreading uk confirms more cases of monkeypox fox news a cdc expert answers questions on monkeypox stat explained what is monkeypox its causes sy london european and american health authorities have identified a number of cases monkeypox in recent days mostly in young men its a surprising outbreak of disease that rarely appears outside 
Biden says monkeypox cases something to 'be concerned about' - The Associated Press,https://apnews.com/article/biden-health-south-korea-asia-united-states-df2d674ea2ad955cb6805128f6d33a6a,2022-05-22T07:39:54Z,"<ol><li>Biden says monkeypox cases something to 'be concerned about'  The Associated Press
</li><li>Biden on Monkeypox: Outbreak should concern 'everybody,' as health experts are baffled  Fox News
</li><li>Biden says monkeypox cases something to “be concern…","PYEONGTAEK, South Korea (AP) President Joe Biden said Sunday that recent cases of monkeypox that have been identified in Europe and the United States were something to be concerned about. 
In his fi… [+1358 chars]",biden says monkeypox cases something to be concerned about biden says monkeypox cases something to be concerned about biden on monkeypox outbreak should concern everybody as health experts are baffled fox news biden says monkeypox cases something to be concern pyeongtaek south korea president joe biden said sunday that recent cases of monkeypox that have been identified in europe and the united states were something to be concerned about in his fi 
"WHO: Monkeypox will not turn into pandemic, but many unknowns - The Associated Press",https://apnews.com/article/covid-health-pandemics-world-organization-smallpox-260f127f54016fca402e88f8bdb3ace3,2022-05-30T14:03:45Z,"<ol><li>WHO: Monkeypox won't turn into pandemic, but many unknowns  The Associated Press
</li><li>Monkeypox outbreak reaches 257 confirmed cases worldwide, WHO says  CNN
</li><li>Unlikely monkeypox outbreak will lead to pandemic, WHO says  Reuters
</li><li…","LONDON (AP) The World Health Organizations top monkeypox expert said she doesnt expect the hundreds of cases reported to date to turn into another pandemic, but acknowledged there are still many unkn… [+3915 chars]",who monkeypox will not turn into pandemic but many unknowns who monkeypox won t turn into pandemic but many unknowns monkeypox outbreak reaches 257 confirmed cases worldwide who says cnn unlikely monkeypox outbreak will lead to pandemic who says li london the world health organizations top monkeypox expert said she doesnt expect the hundreds of cases reported to date to turn into another pandemic but acknowledged there are still many unkn 
"African scientists baffled by monkeypox cases in Europe, US - The Associated Press",https://apnews.com/article/science-health-africa-france-56c405d91f650a41593a4a03c0ab9d79,2022-05-20T09:46:10Z,LONDON (AP) — Scientists who have monitored numerous outbreaks of monkeypox  in Africa say they are baffled by the disease's recent spread in Europe and North America.,"LONDON (AP) Scientists who have monitored numerous outbreaks of monkeypox in Africa say they are baffled by the diseases recent spread in Europe and North America. 
Cases of the smallpox-related dis… [+4739 chars]",african scientists baffled by monkeypox cases in europe us london scientists who have monitored numerous outbreaks of monkeypox in africa say they are baffled by the disease s recent spread in europe and north america london scientists who have monitored numerous outbreaks of monkeypox in africa say they are baffled by the diseases recent spread in europe and north america cases of the smallpox related dis 
US buys more monkeypox vaccine as global case count grows,https://apnews.com/df4bb27e34d8ea6eddea3ec2ee841d39,2022-06-10T18:13:38Z,"The U.S. government is building up its supply of monkeypox vaccine to contend with escalating cases identified in a surprising international outbreak, health officials said Friday. As of Friday, the U.S. had identified 45 cases in 15 states and the…","By MIKE STOBBE - AP Medical Writer
NEW YORK (AP) The U.S. government is buying more monkeypox vaccine as a surprising international outbreak continues to grow, health officials said Friday.
As of F… [+2270 chars]",us buys more monkeypox vaccine as global case count grows the u s government is building up its supply of monkeypox vaccine to contend with escalating cases identified in a surprising international outbreak health officials said friday as of friday the u s had identified 45 cases in 15 states and the by mike stobbe ap medical writer new york the u s government is buying more monkeypox vaccine as a surprising international outbreak continues to grow health officials said friday as of f 
