title,url,date_published,snippet,body
The construction industry remains horribly climate-unfriendly,https://www.economist.com/finance-and-economics/2022/06/15/the-construction-industry-remains-horribly-climate-unfriendly,2022-06-15T16:40:41Z,Governments are falling well short in their efforts to turn things around,"Covid-induced lockdowns may have upended the world of work, but they have not killed the skyscraper. Even as workers stay home to avoid the commute, cities penchant for these concrete marvels of engi… [+7250 chars]"
Why is inflation relatively low in some places?,https://www.economist.com/finance-and-economics/2022/06/20/why-is-inflation-relatively-low-in-some-places,2022-06-20T19:37:33Z,We identify the large economies where inflation trails behind that in the rich world,"Faced with public uproar about the cost of living, policymakers like to point out that rising prices are a global phenomenon. Every country in the world is getting a big bite and piece of this inflat… [+5886 chars]"
How economic interdependence fosters alliances and democracy,https://www.economist.com/finance-and-economics/2022/05/25/how-economic-interdependence-fosters-alliances-and-democracy,2022-05-25T18:13:09Z,And why China’s economic might lacks political clout,"Onhiswhirlwindtour of Asia, concluded on May 24th, President Joe Biden conducted himself with the awkward urgency of a man trying to correct a costly error. China may be reeling, but the ambivalent r… [+5746 chars]"
Vietnam is leading the transition to clean energy in South-East Asia,https://www.economist.com/asia/2022/06/02/vietnam-is-leading-the-transition-to-clean-energy-in-south-east-asia,2022-06-02T13:21:29Z,But it still needs to wean itself off coal,South-east asia is among the parts of the world most vulnerable to climate change. Yet this smoke-belching region seems uninterested in forsaking fossil fuels. Vietnam is a bright spot on an otherwis… [+3578 chars]
What is the point of the Indo-Pacific Economic Framework?,https://www.economist.com/asia/2022/06/09/what-is-the-point-of-the-indo-pacific-economic-framework,2022-06-09T15:05:07Z,"America’s new Asian talking shop has its uses, even if it does not result in a trade deal","Talk to officials in Asian capitals and a theme emerges. America, they say, is happy to engage with their countries on matters of security and geopolitics, but seems uninterested in talking about tra… [+4588 chars]"
A region that seems unable to reach its potential,https://www.economist.com/special-report/2022/06/16/a-region-that-seems-unable-to-reach-its-potential,2022-06-16T14:07:54Z,How can Latin America become more productive?,"Theheadquarters of Creditas is a sleek glass tower near São Paulos ring road, furnished with rows of computer terminals, modish sculptures and swing-seats for relaxation. The offices have space for 2… [+7445 chars]"
Inside the battle for Asian-American votes,https://www.economist.com/united-states/2022/06/20/inside-the-battle-for-asian-american-votes,2022-06-20T17:48:17Z,How Republicans hope to grab a bigger share of America’s fastest-growing voting block,"Lanheechen is a sort of unTrump (he was chief policy adviser to Mitt Romneys presidential bid in 2012). He is running to be elected Californias state controller in November, a technocratic post desig… [+8439 chars]"
A recession in America by 2024 looks likely,https://www.economist.com/leaders/2022/06/02/a-recession-in-america-by-2024-looks-likely,2022-06-02T10:07:26Z,It should be mild—but fear its consequences,"Notlong ago recessions seemed to strike America roughly once a decade. But only two years after the first lockdowns, the business cycle is turning at a sickening speed and another one already seems t… [+6029 chars]"
China’s intergenerational divide,https://www.economist.com/china/2022/05/26/chinas-intergenerational-divide,2022-05-26T14:11:51Z,"Older intellectuals find young Chinese childish, nationalist and scary","In recent days, scholars of culture in China have been locked in serious argument about a silly claim: namely, that young people are killing the Chinese language. Their wrangling has filled social-me… [+6131 chars]"
China’s Global Development Initiative is not as innocent as it sounds,https://www.economist.com/china/2022/06/09/chinas-global-development-initiative-is-not-as-innocent-as-it-sounds,2022-06-09T15:05:07Z,Western countries are wary of the plan—and they should be,"It is nearly nine years since Chinas president, Xi Jinping, began to unveil his first plan for global development. It was revealed in stages, in vague language that conveyed little of what was eventu… [+8161 chars]"
