title,url,date_published,snippet,body
Joe Biden vows to deepen America’s ties with South Korea,https://www.economist.com/asia/2022/05/26/joe-biden-vows-to-deepen-americas-ties-with-south-korea,2022-05-26T14:11:50Z,That works better when no mention is made of China,"When president joe biden paid a visit to South Korea on May 20th, the first stop on a five-day tour of East Asia, he brought a special present for his South Korean counterpart. Yoon Suk-yeol, who too… [+3134 chars]"
A plan to revive South Korea’s nuclear-power sector faces obstacles,https://www.economist.com/asia/2022/06/08/a-plan-to-revive-south-koreas-nuclear-power-sector-faces-obstacles,2022-06-08T16:48:29Z,But it could help wean the country off fossil fuels,"The south gate of Shin Hanul, a nuclear power station in Uljin on South Koreas east coast, does not get a lot of traffic. At lunchtime on a recent weekday there were no heavy vehicles to be seen, onl… [+3822 chars]"
How America tries to grapple with China while confronting Russia,https://www.economist.com/united-states/2022/06/16/how-america-tries-to-grapple-with-china-while-confronting-russia,2022-06-16T14:07:54Z,Travels with the defence secretary in quest of stronger ties,"Ramrod-straight in a crisp green uniform, General Wei Fenghe, Chinas defence minister, saluted the audience before letting rip. We require the us side to stop smearing and containing China. Stop inte… [+8744 chars]"
The zombie nuclear deal,https://www.economist.com/united-states/2022/06/02/the-zombie-nuclear-deal,2022-06-02T09:59:58Z,Iran’s defunct nuclear-containment pact has contaminated American politics,"Four months ago the Biden administration appeared to have decided it was now or never for Irans blighted nuclear-containment deal. Negotiated under Barack Obama then abrogated by Donald Trump, the Jo… [+5936 chars]"
"Containing Eritrea, the North Korea of Africa",https://www.economist.com/leaders/2022/05/26/containing-eritrea-the-north-korea-of-africa,2022-05-26T14:11:50Z,Sanctions should be reimposed on Issaias Afwerki’s regime,"Dictators seldom improve with age or time in office. As they grow accustomed to untrammelled power, they forget why restraint is a virtue. As they punish truth-tellers, they hear more lies. After yea… [+4428 chars]"
“Canada’s Trump” is politer than the real thing,https://www.economist.com/the-americas/2022/06/09/canadas-trump-is-politer-than-the-real-thing,2022-06-09T15:05:07Z,Pierre Poilievre is the front-runner to lead the Conservative Party,"On asunday in April 600 people packed into the Elks Lodge on the outskirts of North Bay in northern Ontario. Some had driven hours to hear Pierre Poilievre, the only Canadian politician who sets puls… [+4823 chars]"
A new nuclear era,https://www.economist.com/leaders/2022/06/02/a-new-nuclear-era,2022-06-02T09:15:42Z,"With his threats to use the bomb, Russia’s president has overturned the nuclear order","One hundred days ago Vladimir Putin launched his invasion of Ukraine by warning of a nuclear strike. Having exalted Russias atomic arsenal and promised Ukraines subjugation, he threatened countries t… [+6374 chars]"
“The Lazarus Heist” explains North Korea’s wild hacking spree,https://www.economist.com/culture/2022/06/23/the-lazarus-heist-explains-north-koreas-wild-hacking-spree,2022-06-23T10:29:44Z,The internet lets the hermit kingdom steal money from all over the world,"The Lazarus Heist. By Geoff White. Penguin Business; 304 pages; $29.95 and £20
The hermit kingdom of North Korea is so technologically backward that it is visibleor rather invisiblefrom space. Photo… [+3948 chars]"
The hotheads who could start a cold war,https://www.economist.com/china/2022/06/09/the-hotheads-who-could-start-a-cold-war,2022-06-09T14:50:00Z,China’s deep distrust of America and the West is making it reckless,It is almost too polite to call the deepening rivalry between China and the American-led West a new cold war. The original cold war between America and the Soviet Union was grimly rational: a nuclear… [+6142 chars]
China’s diplomats are trying to broker peace in foreign conflicts,https://www.economist.com/china/2022/06/16/chinas-diplomats-are-trying-to-broker-peace-in-foreign-conflicts,2022-06-16T14:07:53Z,Just don’t expect them to propose solutions,"Soon after Russia began its latest invasion of Ukraine, the European Unions foreign-policy chief, Josep Borrell, told a Spanish newspaper that there was no alternative. The eu and America could not a… [+5770 chars]"
