title,url,date_published,snippet,body,text
The spate of gun violence shows American exceptionalism at its worst,https://www.economist.com/united-states/2022/05/25/the-spate-of-gun-violence-shows-american-exceptionalism-at-its-worst,2022-05-25T07:01:09Z,"Texas and the country are weeping, again. But will anyone act?","Uvalde is a small town in the picturesque Texas Hill Country, west of San Antonio, which used to be best known as the honey capital of the world. Today it is associated with senseless slaughter. On M… [+5400 chars]",the spate of gun violence shows american exceptionalism at its worst texas and the country are weeping again but will anyone act uvalde is a small town in the picturesque texas hill country west of san antonio which used to be best known as the honey capital of the world today it is associated with senseless slaughter on m 
"Gun reform finally seems possible, though it is no silver bullet",https://www.economist.com/united-states/2022/06/09/gun-reform-finally-seems-possible-though-its-no-silver-bullet,2022-06-09T11:38:40Z,A possible gun deal has momentum,"When a gunman fatally shot 19 children and two teachers in an elementary school in Uvalde, Texas, 11-year-old Miah Cerrillo covered herself in the blood of a dead classmate and played dead to save he… [+4139 chars]",gun reform finally seems possible though it is no silver bullet a possible gun deal has momentum when a gunman fatally shot 19 children and two teachers in an elementary school in uvalde texas 11 year old miah cerrillo covered herself in the blood of a dead classmate and played dead to save he 
America’s senators manage to reach a deal on gun control,https://www.economist.com/united-states/2022/06/13/americas-senators-manage-to-reach-a-deal-on-gun-control,2022-06-13T00:08:04Z,The bipartisan compromise could herald the most important federal gun legislation in three decades,"We have a deal, tweeted Chris Murphy, a Democratic senator from Connecticut, announcing a bipartisan agreement to curb gun violence on the afternoon of June 12th. The deal has the support of at least… [+5617 chars]",america s senators manage to reach a deal on gun control the bipartisan compromise could herald the most important federal gun legislation in three decades we have a deal tweeted chris murphy a democratic senator from connecticut announcing a bipartisan agreement to curb gun violence on the afternoon of june 12th the deal has the support of at least 
Why America should make it harder to buy guns,https://www.economist.com/leaders/2022/05/25/why-america-should-make-it-harder-to-buy-guns,2022-05-25T17:54:14Z,"In many states, it is easier to own a gun than a dog. That is absurd","The motives for mass murder vary. The teenager in Buffalo who on May 14th shot and killed ten people, most of them black, was driven by racial paranoia. The 68-year-old who killed one and injured fiv… [+3743 chars]",why america should make it harder to buy guns in many states it is easier to own a gun than a dog that is absurd the motives for mass murder vary the teenager in buffalo who on may 14th shot and killed ten people most of them black was driven by racial paranoia the 68 year old who killed one and injured fiv 
"May 24 primaries: What to know about races in Georgia, Texas - The Associated Press - en Español",https://apnews.com/article/may-24-primary-what-to-know-20976f7121bd61d089713516f4a03b32,2022-05-23T04:29:23Z,"<ol><li>May 24 primaries: What to know about races in Georgia, Texas  The Associated Press - en Español
</li><li>Georgia primary elections | What to know  11Alive
</li><li>Democrats See Headwinds in Georgia, and Everywhere Else  The New York Times
</li><li…",ATLANTA (AP) Georgia takes center stage in Tuesdays primary elections as Gov. Brian Kemp and Secretary of State Brad Raffensperger try to fight back challengers endorsed by former President Donald Tr… [+8124 chars],may 24 primaries what to know about races in georgia texas en espa ol may 24 primaries what to know about races in georgia texas en espa ol georgia primary elections what to know 11alive democrats see headwinds in georgia and everywhere else the new york times li atlanta georgia takes center stage in tuesdays primary elections as gov brian kemp and secretary of state brad raffensperger try to fight back challengers endorsed by former president donald tr 
A Dad's Anguish Outside Texas School While Shooting Unfolded,https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-e3975aebf393ca7c122cc117d29059c4,2022-05-30T14:52:30Z,"UVALDE, Texas (AP) — Javier Cazares raced to his daughter’s school when he heard there was a shooting, leaving his truck running with the door open as he ran into the school yard. In his rush, he didn't bring his gun.","UVALDE, Texas (AP) Javier Cazares raced to his daughters school when he heard there was a shooting, leaving his truck running with the door open as he ran into the school yard. In his rush, he didnt … [+8918 chars]",a dad s anguish outside texas school while shooting unfolded uvalde texas javier cazares raced to his daughter s school when he heard there was a shooting leaving his truck running with the door open as he ran into the school yard in his rush he didn t bring his gun uvalde texas javier cazares raced to his daughters school when he heard there was a shooting leaving his truck running with the door open as he ran into the school yard in his rush he didnt 
Locals grapple with school chief's role...,https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-police-644dc916ad976b2a95d2373e47565e9a,2022-05-31T11:37:37Z,"Locals grapple with school chief's role...

 
 
 
 (Top headline, 5th story, link)

 

 

 
 Related stories:While Uvalde mourns, Biden urges action...
ANTI-GUN TIRADE...
Canada announces plan for national freeze on handguns...
NRA re-elects LaPierre, …","UVALDE, Texas (AP) The blame for an excruciating delay in killing the gunman at a Texas elementary school even as parents outside begged police to rush in and panicked children called 911 from inside… [+6137 chars]",locals grapple with school chief s role locals grapple with school chief s role related stories while uvalde mourns biden urges action anti gun tirade canada announces plan for national freeze on handguns nra re elects lapierre uvalde texas the blame for an excruciating delay in killing the gunman at a texas elementary school even as parents outside begged police to rush in and panicked children called 911 from inside 
Police inaction moves to center of probe...,https://apnews.com/article/uvalde-school-shooting-police-184334fed299bad71e257b585f7790ea,2022-05-28T14:04:37Z,"Police inaction moves to center of probe...

 
 
 
 (Top headline, 4th story, link)

 

 

 
 Related stories:As USA mourns shootings, NRA in turmoil but influence remains...
Hundreds protest outside convention...
New timeline of TX massacre includes st…","The actions or more notably, the inaction of a school district police chief and other law enforcement officers moved swiftly to the center of the investigation into this weeks shocking school shootin… [+5866 chars]",police inaction moves to center of probe police inaction moves to center of probe related stories as usa mourns shootings nra in turmoil but influence remains hundreds protest outside convention new timeline of tx massacre includes st the actions or more notably the inaction of a school district police chief and other law enforcement officers moved swiftly to the center of the investigation into this weeks shocking school shootin 
'Horrifying' conspiracy theories...,https://apnews.com/article/uvalde-school-shooting-government-and-politics-shootings-texas-conspiracy-theories-8d9ac3b61420c6542b11d0da3f0b3a16,2022-05-26T11:22:38Z,"'Horrifying' conspiracy theories...

 
 
 
 (Top headline, 9th story, link)

 

 

 
 Related stories:Uvalde grieves after school rampage while new details emerge...
A grisly checklist...
FURIOUS FATHER SLAMS COPS FOR WAITING 90 MINS TO TAKE DOWN KILLER…","PROVIDENCE, R.I. (AP) By now its as predictable as the calls for thoughts and prayers: A mass shooting leaves many dead, and wild conspiracy theories and misinformation about the carnage soon follow.… [+5599 chars]", horrifying conspiracy theories horrifying conspiracy theories related stories uvalde grieves after school rampage while new details emerge a grisly checklist furious father slams cops for waiting 90 mins to take down killer providence r i by now its as predictable as the calls for thoughts and prayers a mass shooting leaves many dead and wild conspiracy theories and misinformation about the carnage soon follow 
Biden confronts horrors in Uvalde...,https://apnews.com/article/texas-school-shooting-biden-visits-uvalde-5602203ec1088223e3b6aaed3d219136,2022-05-29T22:22:36Z,"Biden confronts horrors in Uvalde...

 
 
 
 (Top headline, 3rd story, link)

 

 

 
 Related stories:At NRA Gathering, Protesters and Gun Supporters Spar...
Kamala calls for 'assault weapons ban'...
New timeline of TX massacre includes student 911 cal…","UVALDE, Texas (AP) President Joe Biden and first lady Jill Biden offered comfort Sunday to a city gripped by grief and anger as they paid respects at a memorial to 19 students and two teachers slain … [+5896 chars]",biden confronts horrors in uvalde biden confronts horrors in uvalde related stories at nra gathering protesters and gun supporters spar kamala calls for assault weapons ban new timeline of tx massacre includes student 911 cal uvalde texas president joe biden and first lady jill biden offered comfort sunday to a city gripped by grief and anger as they paid respects at a memorial to 19 students and two teachers slain 
